Date  ,Open,High,Low ,Close
15-Feb-21,2048.05,2061.30,2025.00,2032.60
16-Feb-21,2039.75,2079.40,2035.00,2059.50
17-Feb-21,2060.00,2095.95,2050.60,2083.25
18-Feb-21,2085.00,2108.40,2059.10,2067.70
19-Feb-21,2057.00,2104.95,2053.30,2080.30
22-Feb-21,2080.00,2089.90,1994.95,2008.10
23-Feb-21,2048.00,2052.90,2013.60,2023.45
24-Feb-21,2030.00,2065.25,2026.15,2061.00
25-Feb-21,2076.00,2152.00,2073.00,2144.35
26-Feb-21,2117.00,2133.90,2070.70,2085.80
01-Mar-21,2110.20,2112.00,2062.50,2101.70
02-Mar-21,2122.00,2130.00,2089.10,2106.00
03-Mar-21,2121.05,2219.90,2107.20,2202.10
04-Mar-21,2180.00,2189.95,2157.70,2175.85
05-Mar-21,2156.00,2211.95,2153.05,2178.70
08-Mar-21,2168.50,2231.90,2168.00,2191.10
09-Mar-21,2200.00,2213.80,2146.60,2191.05
10-Mar-21,2207.00,2215.10,2170.25,2181.95
12-Mar-21,2195.00,2206.40,2123.90,2137.60
15-Mar-21,2140.05,2148.90,2080.50,2108.90
16-Mar-21,2114.00,2126.00,2095.50,2100.60
17-Mar-21,2098.05,2103.00,2035.10,2055.35
18-Mar-21,2072.90,2084.80,2001.00,2009.10
19-Mar-21,1991.00,2095.85,1982.80,2082.00
22-Mar-21,2071.00,2074.00,2033.20,2062.40
23-Mar-21,2061.95,2109.70,2056.00,2087.50
24-Mar-21,2079.75,2079.75,2040.40,2047.30
25-Mar-21,2054.00,2054.00,1985.00,1991.45
26-Mar-21,2012.00,2013.70,1973.70,1994.65
30-Mar-21,2008.00,2048.90,1991.55,2029.30
31-Mar-21,2018.00,2049.90,1999.00,2003.10
01-Apr-21,2018.00,2030.00,2003.15,2021.85
05-Apr-21,2024.95,2025.00,1962.10,1992.60
06-Apr-21,2004.00,2004.95,1969.00,1984.30
07-Apr-21,2000.00,2046.90,1993.30,2002.85
08-Apr-21,2011.00,2022.00,1993.00,2005.35
09-Apr-21,1998.45,2006.35,1980.00,1982.05
12-Apr-21,1959.00,1961.40,1900.25,1911.15
13-Apr-21,1924.00,1940.60,1917.85,1931.80
15-Apr-21,1926.30,1961.00,1913.00,1944.30
16-Apr-21,1936.60,1949.90,1926.45,1932.10
19-Apr-21,1904.00,1916.40,1890.00,1901.70
20-Apr-21,1910.50,1919.00,1890.45,1901.15
22-Apr-21,1892.25,1914.45,1876.70,1906.40
23-Apr-21,1906.00,1918.90,1895.35,1904.35
26-Apr-21,1920.00,1962.00,1911.50,1937.85
27-Apr-21,1940.00,1997.20,1938.25,1988.65
28-Apr-21,1997.85,2008.00,1980.15,1997.30
29-Apr-21,2022.90,2044.50,2007.30,2024.05
30-Apr-21,2008.50,2036.00,1987.55,1994.50
03-May-21,1966.00,1979.00,1943.10,1959.05
04-May-21,1950.00,1967.80,1911.00,1916.60
05-May-21,1923.35,1938.50,1908.05,1920.10
06-May-21,1921.85,1935.00,1906.60,1931.00
07-May-21,1937.75,1955.65,1926.00,1931.75
10-May-21,1939.00,1946.80,1920.95,1926.20
11-May-21,1915.00,1938.55,1910.00,1933.15
12-May-21,1930.10,1932.90,1907.00,1913.15
14-May-21,1928.05,1942.00,1906.00,1937.30
17-May-21,1937.30,1963.45,1930.40,1960.35
18-May-21,1981.00,2002.60,1972.50,1987.95
19-May-21,1980.00,2016.45,1972.00,1997.05
20-May-21,1997.90,2010.90,1981.00,1985.40
21-May-21,1992.00,2009.60,1986.00,2002.55
24-May-21,2008.00,2009.80,1982.00,1985.65
25-May-21,1996.40,1997.00,1960.00,1963.15
26-May-21,1975.00,1979.50,1965.30,1970.05
27-May-21,1970.30,1993.00,1962.25,1976.10
28-May-21,1990.00,2105.00,1990.00,2094.80
31-May-21,2102.00,2191.70,2085.05,2160.30
01-Jun-21,2166.00,2202.00,2146.50,2168.90
02-Jun-21,2157.00,2209.50,2157.00,2201.25
03-Jun-21,2221.00,2250.00,2196.10,2209.65
04-Jun-21,2214.80,2216.45,2184.25,2190.50
07-Jun-21,2202.00,2242.00,2185.00,2227.40
08-Jun-21,2226.60,2227.15,2198.15,2214.60
09-Jun-21,2219.00,2221.00,2157.95,2175.00
10-Jun-21,2193.40,2230.00,2177.55,2183.00
11-Jun-21,2182.90,2228.00,2180.10,2213.15
14-Jun-21,2215.00,2258.25,2195.05,2244.90
15-Jun-21,2261.00,2274.90,2240.30,2250.00
16-Jun-21,2244.90,2247.05,2205.85,2211.60
17-Jun-21,2200.00,2235.00,2179.90,2215.65
18-Jun-21,2225.50,2235.00,2184.35,2225.65
21-Jun-21,2203.50,2247.50,2200.15,2237.25
22-Jun-21,2254.00,2261.00,2219.35,2225.75
23-Jun-21,2250.00,2250.60,2201.70,2205.35
